base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=220574 eparts=447 evaluations=22641268
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=220574 eparts=447
EVALUATIONS count=2550000000 sid=219563 m=121 shapes=223157 eparts=447
EVALUATIONS count=2560000000 sid=174809 m=129 shapes=223158 eparts=447
EVALUATIONS count=2570000000 sid=220980 m=127 shapes=223158 eparts=447
EVALUATIONS count=2580000000 sid=219311 m=105 shapes=223158 eparts=447
EVALUATIONS count=2590000000 sid=220897 m=105 shapes=223158 eparts=447
EVALUATIONS count=2600000000 sid=220979 m=131 shapes=223158 eparts=447
EVALUATIONS count=2610000000 sid=222018 m=107 shapes=223158 eparts=447
EVALUATIONS count=2620000000 sid=219369 m=107 shapes=223158 eparts=447
EVALUATIONS count=2630000000 sid=220319 m=121 shapes=223158 eparts=447
EVALUATIONS count=2640000000 sid=220596 m=123 shapes=223158 eparts=447
EVALUATIONS count=2650000000 sid=222019 m=119 shapes=223162 eparts=447
EVALUATIONS count=2660000000 sid=222119 m=117 shapes=223162 eparts=447
EVALUATIONS count=2670000000 sid=220241 m=129 shapes=223162 eparts=447
EVALUATIONS count=2680000000 sid=94095 m=127 shapes=223162 eparts=447
EVALUATIONS count=2690000000 sid=220972 m=119 shapes=223162 eparts=447
EVALUATIONS count=2700000000 sid=26686 m=127 shapes=223162 eparts=447
EVALUATIONS count=2710000000 sid=24351 m=127 shapes=223164 eparts=447
EVALUATIONS count=2720000000 sid=212292 m=127 shapes=223164 eparts=447
EVALUATIONS count=2730000000 sid=222033 m=117 shapes=223164 eparts=447
EVALUATIONS count=2740000000 sid=220371 m=111 shapes=223164 eparts=447
EVALUATIONS count=2750000000 sid=222147 m=121 shapes=223164 eparts=447
EVALUATIONS count=2760000000 sid=185059 m=127 shapes=223164 eparts=447
EVALUATIONS count=2770000000 sid=219380 m=107 shapes=223164 eparts=447
EVALUATIONS count=2780000000 sid=23984 m=129 shapes=223164 eparts=447
EVALUATIONS count=2790000000 sid=67383 m=129 shapes=223164 eparts=447
EVALUATIONS count=2800000000 sid=219400 m=117 shapes=223164 eparts=447
EVALUATIONS count=2810000000 sid=220904 m=121 shapes=223164 eparts=447
EVALUATIONS count=2820000000 sid=219584 m=115 shapes=223164 eparts=447
EVALUATIONS count=2830000000 sid=219118 m=5 shapes=223164 eparts=447
EVALUATIONS count=2840000000 sid=220371 m=111 shapes=223164 eparts=447
EVALUATIONS count=2850000000 sid=173327 m=127 shapes=223164 eparts=447
EVALUATIONS count=2860000000 sid=66108 m=133 shapes=223164 eparts=447
EVALUATIONS count=2870000000 sid=219177 m=89 shapes=223164 eparts=447
EVALUATIONS count=2880000000 sid=195572 m=129 shapes=223164 eparts=447
EVALUATIONS count=2890000000 sid=214115 m=121 shapes=223164 eparts=447
EVALUATIONS count=2900000000 sid=204 m=129 shapes=223164 eparts=447
EVALUATIONS count=2910000000 sid=221000 m=127 shapes=223164 eparts=447
EVALUATIONS count=2920000000 sid=202 m=129 shapes=223164 eparts=447
EVALUATIONS count=2930000000 sid=163190 m=127 shapes=223164 eparts=447
EVALUATIONS count=2940000000 sid=195368 m=133 shapes=223164 eparts=447
EVALUATIONS count=2950000000 sid=219333 m=101 shapes=223164 eparts=447
EVALUATIONS count=2960000000 sid=219118 m=7 shapes=223164 eparts=447
EVALUATIONS count=2970000000 sid=220979 m=127 shapes=223166 eparts=447
EVALUATIONS count=2980000000 sid=219118 m=7 shapes=223166 eparts=447
EVALUATIONS count=2990000000 sid=220977 m=113 shapes=223166 eparts=447
EVALUATIONS count=3000000000 sid=222217 m=133 shapes=223166 eparts=447
EVALUATIONS count=3010000000 sid=221047 m=127 shapes=223166 eparts=447
EVALUATIONS count=3020000000 sid=96289 m=121 shapes=223166 eparts=447
EVALUATIONS count=3030000000 sid=219229 m=127 shapes=223166 eparts=447
EVALUATIONS count=3040000000 sid=25588 m=127 shapes=223166 eparts=447
EVALUATIONS count=3050000000 sid=219182 m=109 shapes=223166 eparts=447
EVALUATIONS count=3060000000 sid=92645 m=127 shapes=223166 eparts=447
EVALUATIONS count=3070000000 sid=219578 m=109 shapes=223166 eparts=447
EVALUATIONS count=3080000000 sid=220985 m=127 shapes=223166 eparts=447
EVALUATIONS count=3090000000 sid=220985 m=127 shapes=223166 eparts=447
EVALUATIONS count=3100000000 sid=24595 m=127 shapes=223166 eparts=447
EVALUATIONS count=3110000000 sid=11998 m=87 shapes=223166 eparts=447
EVALUATIONS count=3120000000 sid=220981 m=115 shapes=223166 eparts=447
EVALUATIONS count=3130000000 sid=11995 m=23 shapes=223166 eparts=447
EVALUATIONS count=3140000000 sid=220899 m=119 shapes=223166 eparts=447
EVALUATIONS count=3150000000 sid=219230 m=101 shapes=223166 eparts=447
EVALUATIONS count=3160000000 sid=219177 m=89 shapes=223166 eparts=447
EVALUATIONS count=3170000000 sid=90011 m=121 shapes=223166 eparts=447
EVALUATIONS count=3180000000 sid=93139 m=123 shapes=223166 eparts=447
EVALUATIONS count=3190000000 sid=220579 m=113 shapes=223166 eparts=447
EVALUATIONS count=3200000000 sid=219311 m=105 shapes=223166 eparts=447
EVALUATIONS count=3210000000 sid=219570 m=103 shapes=223166 eparts=447
EVALUATIONS count=3220000000 sid=222018 m=107 shapes=223166 eparts=447
EVALUATIONS count=3230000000 sid=220977 m=113 shapes=223166 eparts=447
EVALUATIONS count=3240000000 sid=90011 m=121 shapes=223166 eparts=447
EVALUATIONS count=3250000000 sid=161102 m=121 shapes=223166 eparts=447
EVALUATIONS count=3260000000 sid=174656 m=127 shapes=223167 eparts=447
EVALUATIONS count=3270000000 sid=219217 m=107 shapes=223167 eparts=447
EVALUATIONS count=3280000000 sid=219472 m=109 shapes=223167 eparts=447
EVALUATIONS count=3290000000 sid=219228 m=127 shapes=223167 eparts=447
EVALUATIONS count=3300000000 sid=219230 m=101 shapes=223167 eparts=447
EVALUATIONS count=3310000000 sid=220984 m=127 shapes=223167 eparts=447
EVALUATIONS count=3320000000 sid=219120 m=95 shapes=223167 eparts=447
EVALUATIONS count=3330000000 sid=219311 m=105 shapes=223167 eparts=447
EVALUATIONS count=3340000000 sid=221188 m=121 shapes=223167 eparts=447
EVALUATIONS count=3350000000 sid=221001 m=127 shapes=223167 eparts=447
EVALUATIONS count=3360000000 sid=189689 m=121 shapes=223167 eparts=447
EVALUATIONS count=3370000000 sid=18553 m=127 shapes=223167 eparts=447
EVALUATIONS count=3380000000 sid=219205 m=91 shapes=223167 eparts=447
EVALUATIONS count=3390000000 sid=220237 m=117 shapes=223167 eparts=447
EVALUATIONS count=3400000000 sid=220936 m=127 shapes=223167 eparts=447
EVALUATIONS count=3410000000 sid=8580 m=121 shapes=223167 eparts=447
EVALUATIONS count=3420000000 sid=11995 m=51 shapes=223167 eparts=447
EVALUATIONS count=3430000000 sid=220977 m=113 shapes=223167 eparts=447
EVALUATIONS count=3440000000 sid=12214 m=127 shapes=223167 eparts=447
