base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=1406524 eparts=1051 evaluations=23224931838
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=1406524 eparts=1051
EVALUATIONS count=24460000000 sid=652293 m=271 shapes=1439732 eparts=1065
EVALUATIONS count=24470000000 sid=658147 m=375 shapes=1439732 eparts=1065
SHAPES count=1440000 eparts=1066 scanned_to=407
EVALUATIONS count=24480000000 sid=1416785 m=197 shapes=1441956 eparts=1066
EVALUATIONS count=24490000000 sid=686560 m=309 shapes=1441956 eparts=1066
EVALUATIONS count=24500000000 sid=1442427 m=101 shapes=1444078 eparts=1066
EVALUATIONS count=24510000000 sid=658697 m=241 shapes=1444078 eparts=1066
EVALUATIONS count=24520000000 sid=1442808 m=351 shapes=1444078 eparts=1066
EVALUATIONS count=24530000000 sid=1298790 m=37 shapes=1446310 eparts=1069
EVALUATIONS count=24540000000 sid=204 m=147 shapes=1446310 eparts=1069
EVALUATIONS count=24550000000 sid=475443 m=163 shapes=1446310 eparts=1069
EVALUATIONS count=24560000000 sid=517861 m=105 shapes=1446310 eparts=1069
EVALUATIONS count=24570000000 sid=1444627 m=171 shapes=1446310 eparts=1069
EVALUATIONS count=24580000000 sid=475769 m=177 shapes=1446310 eparts=1069
EVALUATIONS count=24590000000 sid=590717 m=177 shapes=1446310 eparts=1069
EVALUATIONS count=24600000000 sid=1299588 m=235 shapes=1446310 eparts=1069
EVALUATIONS count=24610000000 sid=168118 m=269 shapes=1446310 eparts=1069
EVALUATIONS count=24620000000 sid=687712 m=193 shapes=1446310 eparts=1069
EVALUATIONS count=24630000000 sid=1298790 m=219 shapes=1446310 eparts=1069
EVALUATIONS count=24640000000 sid=486492 m=281 shapes=1446310 eparts=1069
EVALUATIONS count=24650000000 sid=204 m=339 shapes=1446310 eparts=1069
EVALUATIONS count=24660000000 sid=1445660 m=355 shapes=1446310 eparts=1069
EVALUATIONS count=24670000000 sid=1444270 m=305 shapes=1446310 eparts=1069
EVALUATIONS count=24680000000 sid=591675 m=391 shapes=1446310 eparts=1069
EVALUATIONS count=24690000000 sid=178998 m=121 shapes=1447997 eparts=1070
